Hugo_Symbol	Entrez_Gene_Id	Center	Tumor_Sample_Barcode	Fusion	DNA_support	RNA_support	Method	Frame
KDM2A		ucologne	sclc_ucologne_2015_S02297	KDM2A-GLB1L2	Unknown	Unknown	Unknown	in-frame fusion
ELMOD1		ucologne	sclc_ucologne_2015_S02297	ELMOD1-HPS3	Unknown	Unknown	Unknown	out of frame
MTCH2		ucologne	sclc_ucologne_2015_S02297	MTCH2-ODZ4	Unknown	Unknown	Unknown	in-frame fusion
TM7SF2		ucologne	sclc_ucologne_2015_S02297	TM7SF2)-PRRG4	Unknown	Unknown	Unknown	out of frame
PPME1		ucologne	sclc_ucologne_2015_S02297	PPME1-FYCO1	Unknown	Unknown	Unknown	in-frame fusion
TAF1D		ucologne	sclc_ucologne_2015_S02297	TAF1D-PIK3CA	Unknown	Unknown	Unknown	in-frame fusion
SETD5		ucologne	sclc_ucologne_2015_S02297	SETD5-NAALAD2	Unknown	Unknown	Unknown	out of frame
SOX2OT		ucologne	sclc_ucologne_2015_S02297	SOX2OT-ATL3	Unknown	Unknown	Unknown	out of frame
B3GALNT1		ucologne	sclc_ucologne_2015_S02297	B3GALNT1-C11orf92	Unknown	Unknown	Unknown	noncoding RNA
MYO7A		ucologne	sclc_ucologne_2015_S02297	MYO7A-PSMC3	Unknown	Unknown	Unknown	in-frame fusion
EI24		ucologne	sclc_ucologne_2015_S02297	EI24-PVRL1	Unknown	Unknown	Unknown	out of frame
TXNRD3		ucologne	sclc_ucologne_2015_S02297	TXNRD3-PODXL2	Unknown	Unknown	Unknown	in-frame fusion
LOC728588		ucologne	sclc_ucologne_2015_S02297	LOC728588-KLHL18	Unknown	Unknown	Unknown	in-frame fusion
SOX2OT		ucologne	sclc_ucologne_2015_S02297	SOX2OT-ST14	Unknown	Unknown	Unknown	out of frame
RSF1		ucologne	sclc_ucologne_2015_S02297	RSF1-CNTN4	Unknown	Unknown	Unknown	out of frame
ABI3BP		ucologne	sclc_ucologne_2015_S02297	ABI3BP-EXT2	Unknown	Unknown	Unknown	out of frame
GANAB		ucologne	sclc_ucologne_2015_S02297	GANAB-STXBP5L	Unknown	Unknown	Unknown	out of frame
SLN		ucologne	sclc_ucologne_2015_S02297	SLN-CADM2	Unknown	Unknown	Unknown	out of frame
VPRBP		ucologne	sclc_ucologne_2015_S02297	VPRBP-DBR1	Unknown	Unknown	Unknown	out of frame
